Name,%GC,Common Name,Description,Imported From: Filename,Imported From: Path,Sequence Length,Size,collection_date,country,isolate,isolation_source,lab_host,serotype,strain
AF367104,54.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/16/88 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/16/88,,,SAT-2,
AF367105,54.3%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/17/88 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/17/88,,,SAT-2,
AF367106,54.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/19/88 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/19/88,,,SAT-2,
AF367107,54.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/20/88 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/20/88,,,SAT-2,
AF367108,56.1%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZIM/1/88 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zimbabwe,ZIM/1/88,,,SAT-2,
AF367109,54.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/2/89 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/2/89,,,SAT-2,
AF367110,55.4%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/19/89 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/19/89,,,SAT-2,
AF367111,56.8%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate BUN/1/91 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Burundi,BUN/1/91,,,SAT-2,
AF367112,57.1%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/183/91 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/183/91,,,SAT-2,
AF367113,57.2%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZIM/Gn10/91 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zimbabwe,ZIM/Gn10/91,,,SAT-2,
AF367114,55.9%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/1/92 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/1/92,,,SAT-2,
AF367115,56.6%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/32/92 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/32/92,,,SAT-2,
AF367116,57.7%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZAM/9/93 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zambia,ZAM/9/93,,,SAT-2,
AF367117,58.3%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZAM/10/93 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zambia,ZAM/10/93,,,SAT-2,
AF367118,54.7%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/18/95 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/18/95,,,SAT-2,
AF367119,55.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/31/95 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/31/95,,,SAT-2,
AF367120,58.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZAM/7/96 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zambia,ZAM/7/96,,,SAT-2,
AF367121,58.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZAM/10/96 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zambia,ZAM/10/96,,,SAT-2,
AF367122,56.2%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate BOT/1/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Botswana,BOT/1/98,,,SAT-2,
AF367123,58.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate BOT/18/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Botswana,BOT/18/98,,,SAT-2,
AF367124,55.3%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate BOT/29/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Botswana,BOT/29/98,,,SAT-2,
AF367125,56.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate BOT/31/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Botswana,BOT/31/98,,,SAT-2,
AF367126,58.2%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ERI/12/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Eritrea,ERI/12/98,,,SAT-2,
AF367127,55.7%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate NAM/286/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Namibia,NAM/286/98,,,SAT-2,
AF367128,56.1%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate NAM/292/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Namibia,NAM/292/98,,,SAT-2,
AF367129,54.9%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate NAM/304/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Namibia,NAM/304/98,,,SAT-2,
AF367130,56.3%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZIM/267/98 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zimbabwe,ZIM/267/98,,,SAT-2,
AF367131,56.6%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KEN/5/99 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Kenya,KEN/5/99,,,SAT-2,
AF367132,56.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KEN/7/99 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Kenya,KEN/7/99,,,SAT-2,
AF367133,56.6%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KEN/9/99 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Kenya,KEN/9/99,,,SAT-2,
AF367134,56.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate RWA/1/00 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Rwanda,RWA/1/00,,,SAT-2,
AF367135,57.3%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate SAU/6/00 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Saudi Arabia,SAU/6/00,,,SAT-2,
AF367136,55.1%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZIM/1/00 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Zimbabwe,ZIM/1/00,,,SAT-2,
AF367137,56.3%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate MOZ/1/79 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Mozambique,MOZ/1/79,,,SAT-2,
AF367138,54.2%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/18/88 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/18/88,,,SAT-2,
AF367139,58.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate NIG/2/75 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Nigeria,NIG/2/75,,,SAT-2,
AF367140,58.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate SEN/5/75 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Senegal,SEN/5/75,,,SAT-2,
AF377945,53.1%,,"Foot-and-mouth disease virus O/SKR/2000, complete genome",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,7813,21 KB,,,,,,,
AF390675,58.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/120/88 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,630,8 KB,,India: Maharashtra,IND/120/88,,,,
AF390676,57.8%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/132/90 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,669,8 KB,,India: Uttar Pradesh,IND/132/90,,,,
AF390677,55.5%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/13/91 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Maharashtra,IND/13/91,,,,
AF390678,57.5%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/14/95 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Andhra Pradesh,IND/14/95,,,,
AF390679,57.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/155/88 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Maharashtra,IND/155/88,,,,
AF390681,57.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/173/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Haryana,IND/173/96,,,,
AF390682,55.8%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/17/91 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Maharashtra,IND/17/91,,,,
AF390683,56.4%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/1/95 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Karnataka,IND/1/95,,,,
AF390684,56.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/19/89 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,631,8 KB,,India: Uttar Pradesh,IND/19/89,,,,
AF390685,58.1%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/22/88 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,630,8 KB,,India: Assam,IND/22/88,,,,
AF390687,56.9%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/26/95 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Uttar Pradesh,IND/26/95,,,,
AF390688,56.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/316/94 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Maharashtra,IND/316/94,,,,
AF390689,58.1%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/33/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,630,8 KB,,India: West Bengal,IND/33/96,,,,
AF390690,58.4%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/43/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,630,8 KB,,India: Maharashtra,IND/43/96,,,,
AF390691,55.9%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/45/89 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Uttar Pradesh,IND/45/89,,,,
AF390692,57.6%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/46/87 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,630,8 KB,,India: Rajasthan,IND/46/87,,,,
AF390694,56.8%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/50/95 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,630,8 KB,,India: Uttar Pradesh,IND/50/95,,,,
AF390695,57.2%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/53/93 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Karnataka,IND/53/93,,,,
AF390696,56.6%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/57/95 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Andhra Pradesh,IND/57/95,,,,
AF390697,55.8%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/6/95 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,669,8 KB,,India: Karnataka,IND/6/95,,,,
AF390699,56.1%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/71/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Andhra Pradesh,IND/71/96,,,,
AF390700,57.2%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/72/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Maharashtra,IND/72/96,,,,
AF390701,56.1%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/73/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Pondicherry,IND/73/96,,,,
AF390702,57.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/75/86 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Assam,IND/75/86,,,,
AF390703,57.0%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/80/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Karnataka,IND/80/96,,,,
AF390704,56.9%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/81/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Karnataka,IND/81/96,,,,
AF390705,56.6%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/82/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Himachal Pradesh,IND/82/96,,,,
AF390706,56.1%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate IND/89/96 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Punjab,IND/89/96,,,,
AF392897,57.5%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/102/99 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Haryana,Asia1/IND/102/99,,,,
AF392898,56.6%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/104/99 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Haryana,Asia1/IND/104/99,,,,
AF392899,56.9%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/105/99 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Haryana,Asia1/IND/105/99,,,,
AF392900,56.9%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/107/99 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Punjab,Asia1/IND/107/99,,,,
AF392902,56.7%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/108/99 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Punjab,Asia1/IND/108/99,,,,
AF392903,54.8%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/126/99 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Karnataka,Asia1/IND/126/99,,,,
AF392904,55.6%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/177/88 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,630,8 KB,,India: Maharashtra,Asia1/IND/177/88,,,,
AF392905,57.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/196/99 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Karnataka,Asia1/IND/196/99,,,,
AF392906,56.6%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/256/97 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: Tamilnadu,Asia1/IND/256/97,,,,
AF392907,59.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/270/98 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,632,8 KB,,India: West Bengal,Asia1/IND/270/98,,,,
AF392908,57.5%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 isolate Asia1/IND/271/98 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,633,8 KB,,India: West Bengal,Asia1/IND/271/98,,,,
