accession,date,country
JQ082951,2005-04-20,Venezuela
JQ082952,2005-04-29,Venezuela
JQ082953,2006-06-13,Venezuela
JQ082954,2007-01-30,Venezuela
JQ082923,2008-06-06,Colombia
JQ082924,2008-06-06,Colombia
JQ082925,2008-06-06,Colombia
JQ082926,2008-06-06,Colombia
JQ082927,2008-06-06,Colombia
JQ082928,2008-06-06,Colombia
KU234721,2013-04-01,Venezuela
